DATE,CPI,PCE,AHW,CSI
3/1/2011,94.1054861,10619.7,22.87,67.5
4/1/2011,94.54722657,10652.1,22.91,69.8
5/1/2011,94.84804887,10672.2,22.98,74.3
6/1/2011,94.84804887,10694.8,23.01,71.5
7/1/2011,95.09655426,10731.6,23.1,63.7
8/1/2011,95.39653274,10750.3,23.07,55.8
9/1/2011,95.60369087,10783.2,23.12,59.5
10/1/2011,95.66824321,10802.9,23.2,60.8
11/1/2011,95.84502377,10806.8,23.19,63.7
12/1/2011,95.86780695,10817.8,23.22,69.9
1/1/2012,96.12896965,10896.8,23.25,75
2/1/2012,96.33444015,10987.2,23.28,75.3
3/1/2012,96.53611344,10993.9,23.36,76.2
4/1/2012,96.6964395,11018.5,23.39,76.4
5/1/2012,96.49645384,11006.8,23.4,79.3
6/1/2012,96.41671273,10989.8,23.46,73.2
7/1/2012,96.44455883,11016.8,23.5,72.3
8/1/2012,97.00485619,11056,23.49,74.3
9/1/2012,97.46769219,11105.3,23.57,78.3
10/1/2012,97.73054253,11137.4,23.56,82.6
11/1/2012,97.56641929,11178.4,23.63,82.7
12/1/2012,97.55460579,11181.2,23.73,72.9
1/1/2013,97.74784087,11252.4,23.75,73.8
2/1/2013,98.27860449,11290.5,23.78,77.6
3/1/2013,98.002253,11290.1,23.8,78.6
4/1/2013,97.79762633,11281.1,23.87,76.4
5/1/2013,97.83812975,11321.6,23.89,84.5
6/1/2013,98.07102444,11344.4,23.96,84.1
7/1/2013,98.26299379,11372.6,23.98,85.1
8/1/2013,98.49757612,11406.6,24.02,82.1
9/1/2013,98.53470426,11445.9,24.06,77.5
10/1/2013,98.58744309,11498,24.09,73.2
11/1/2013,98.76928659,11562.5,24.16,75.1
12/1/2013,99.03044929,11593.2,24.18,82.5
1/1/2014,99.27051646,11578.8,24.23,81.2
2/1/2014,99.37979132,11636.9,24.33,81.6
3/1/2014,99.58273035,11722.3,24.32,80
4/1/2014,99.76837105,11762.3,24.34,84.1
5/1/2014,99.95823084,11807.3,24.4,81.9
6/1/2014,100.0902889,11861.7,24.46,82.5
7/1/2014,100.202939,11904.4,24.48,81.8
8/1/2014,100.1869064,11983.7,24.54,82.5
9/1/2014,100.1940789,11991.4,24.55,84.6
10/1/2014,100.1742491,12064.7,24.58,86.9
11/1/2014,99.98565504,12083.9,24.66,88.8
12/1/2014,99.67723834,12096.1,24.62,93.6
1/1/2015,99.04226279,12066.7,24.75,98.1
2/1/2015,99.29329964,12116.6,24.79,95.4
3/1/2015,99.560791,12176.1,24.86,93
4/1/2015,99.66458102,12209.1,24.89,95.9
5/1/2015,99.99324943,12275.4,24.97,90.7
6/1/2015,100.2700228,12307.9,24.97,96.1
7/1/2015,100.4290831,12364.9,25,93.1
8/1/2015,100.4286612,12396.2,25.09,91.9
9/1/2015,100.202939,12386.4,25.11,87.2
10/1/2015,100.302088,12394.9,25.19,90
11/1/2015,100.4219107,12423.2,25.25,91.3
12/1/2015,100.3139015,12452,25.24,92.6
1/1/2016,100.2679133,12478,25.38,92
2/1/2016,100.1345895,12554.5,25.38,91.7
3/1/2016,100.448491,12537,25.45,91
4/1/2016,100.8332736,12611.5,25.53,89
5/1/2016,101.0716531,12652.7,25.58,94.7
6/1/2016,101.3522237,12731.2,25.62,93.5
7/1/2016,101.3011725,12756.7,25.69,90
8/1/2016,101.4885008,12788.1,25.72,89.8
9/1/2016,101.7547265,12846.6,25.77,91.2
10/1/2016,101.993106,12867,25.89,87.2
11/1/2016,102.1133505,12893,25.9,93.8
12/1/2016,102.3711379,13005.9,25.92,98.2
1/1/2017,102.7850323,13063.7,26,98.5
2/1/2017,102.9487336,13088.4,26.06,96.3
3/1/2017,102.9006358,13139.9,26.11,96.9
4/1/2017,103.0276309,13169.2,26.17,97
5/1/2017,102.9478898,13171.9,26.21,97.1
6/1/2017,103.0149736,13225.2,26.26,95
7/1/2017,103.0487265,13263.3,26.36,93.4
8/1/2017,103.4453225,13294.6,26.38,96.8
9/1/2017,103.9735546,13417.3,26.49,95.1
10/1/2017,104.0541396,13447.5,26.49,100.7
11/1/2017,104.3317568,13540.6,26.52,98.5
12/1/2017,104.5515723,13666.1,26.61,95.9
1/1/2018,104.9962661,13703.3,26.73,95.7
2/1/2018,105.2789462,13738.7,26.75,99.7
3/1/2018,105.2991979,13793.2,26.86,101.4
4/1/2018,105.5734399,13838.4,26.92,98.8
5/1/2018,105.8118194,13905,26.98,98
6/1/2018,105.9071712,13930.4,27.03,98.2
7/1/2018,105.9898657,13974.8,27.09,97.9
8/1/2018,106.1793036,14014,27.2,96.2
9/1/2018,106.3982752,14017.8,27.32,100.1
10/1/2018,106.6472025,14083.1,27.36,98.6
11/1/2018,106.5721024,14162.9,27.44,97.5
12/1/2018,106.645093,14051.6,27.56,98.3
1/1/2019,106.6244193,14088.4,27.59,91.2
2/1/2019,106.8792534,14115.5,27.7,93.8
3/1/2019,107.2505348,14240.1,27.79,98.4
4/1/2019,107.6762426,14278.3,27.76,97.2
5/1/2019,107.7095736,14340.8,27.86,100
6/1/2019,107.6543033,14391.2,27.94,98.2
7/1/2019,107.8762283,14471.8,28.02,98.4
8/1/2019,108.0340229,14525.7,28.13,89.8
9/1/2019,108.2247265,14555.6,28.17,93.2
10/1/2019,108.533987,14584,28.24,95.5
11/1/2019,108.7698351,14678.6,28.35,96.8
12/1/2019,109.1128484,14741.3,28.37,99.3
1/1/2020,109.2904728,14815.7,28.43,99.8
2/1/2020,109.379496,14810.7,28.55,101
3/1/2020,108.9052684,13793,28.8,89.1
4/1/2020,108.0479459,12228.3,30.01,71.8
5/1/2020,107.9534379,13251.4,29.72,72.3
6/1/2020,108.4251341,14027.1,29.37,78.1
7/1/2020,108.9702426,14285.1,29.39,72.5
8/1/2020,109.4482674,14428.4,29.48,74.1
9/1/2020,109.7090082,14655,29.52,80.4
10/1/2020,109.8174393,14702.5,29.54,81.8
11/1/2020,110.0397862,14675.8,29.64,76.9
12/1/2020,110.555361,14801.8,29.92,80.7
1/1/2021,110.8148361,15047.3,29.92,79
2/1/2021,111.2316838,14948.2,30.05,76.8
3/1/2021,111.7700418,15657.6,30.05,84.9
4/1/2021,112.5109169,15854.1,30.2,88.3
5/1/2021,113.2593865,15890,30.38,82.9
6/1/2021,114.1517275,16108.5,30.53,85.5
7/1/2021,114.6601299,16150.8,30.66,81.2
8/1/2021,115.1267631,16305.6,30.78,70.3
9/1/2021,115.6153356,16398.9,30.96,72.8
10/1/2021,116.6675808,16613.8,31.14,71.7
11/1/2021,117.5911433,16741.6,31.24,67.4
12/1/2021,118.5092209,16799.2,31.42,70.6
1/1/2022,119.2315319,16888.6,31.63,67.2
2/1/2022,120.0799943,16999.7,31.63,62.8
3/1/2022,121.2875026,17203.6,31.83,59.4
4/1/2022,121.7680588,17310.5,31.94,65.2
5/1/2022,122.8890755,17384.8,32.06,58.4
6/1/2022,124.3488864,17550,32.18,50
7/1/2022,124.3066953,17556.4,32.33,51.5
8/1/2022,124.5986575,17692.2,32.43,58.2
9/1/2022,125.1129666,17804,32.53,58.6
10/1/2022,125.7238932,17915.1,32.66,59.9
11/1/2022,125.9816806,17892.5,32.8,56.7
12/1/2022,126.1470696,17943.6,32.92,59.8
1/1/2023,126.7993435,18229.6,33.02,64.9
2/1/2023,127.2685082,18296.5,33.11,66.9
3/1/2023,127.3360139,18282.6,33.2,62
4/1/2023,127.8043347,18363.8,33.34,63.7
5/1/2023,127.9629731,18407.8,33.45,59
6/1/2023,128.1937583,18485.4,33.6,64.2
7/1/2023,128.407667,18595.4,33.73,71.5
8/1/2023,129.2181573,18651.6,33.82,69.4
9/1/2023,129.7295131,18791.5,33.91,67.9
10/1/2023,129.7877367,18794.7,34,63.8
11/1/2023,129.9134661,18867.8,34.12,61.3
12/1/2023,130.3071088,19001.7,34.27,
